Make,Model,Color,Body_Type,Production_Date,Drive_Type,Transmission,Mileage,Emission_Class,Power,Engine_Displacement,Build_Year,Fuel,Category,Seats,Doors,Gears,Cylinders,Curb_Weight,CO2_Emission,Interior_Material,Price,Interior_Color,Paint_Type,Technical_Inspection,Production_Year,Non_Smoker_Car,Fuel_Consumption,Warranty,Last_Service,Electric_Range,Other_Energy_Sources
Volkswagen,Golf,Grey,Hatchback,1999-07-01 00:00:00,,Manual,230947.0,,55.0,1.39,1999-07-01 00:00:00,Petrol,Used,5.0,5.0,,4.0,1080.0,,,1195.0,,Metallic,2026-03-31 00:00:00,1999.0,,6.4,,,,
Volkswagen,Golf,Red,Cabrio,2000-05-01 00:00:00,,Manual,42967.0,Euro 2,55.0,1.781,2000-05-01 00:00:00,Petrol,Used,4.0,2.0,,4.0,1115.0,185.0,,9950.0,,Metallic,2025-07-31 00:00:00,2000.0,1.0,7.7,,,,
Volkswagen,Golf,Red,Cabrio,2000-05-01 00:00:00,,Manual,42967.0,Euro 2,55.0,1.781,2000-05-01 00:00:00,Petrol,Used,4.0,2.0,,4.0,1115.0,185.0,,9950.0,,Metallic,2025-07-31 00:00:00,2000.0,1.0,7.7,,,,
Volkswagen,Golf,White,Cabrio,1981-02-01 00:00:00,,Manual,96289.0,,,,1981-02-01 00:00:00,Petrol,Used,,2.0,5.0,4.0,882.0,,Leather,7450.0,,Other,,1981.0,1.0,0.0,,,,
Volkswagen,Golf,White,Cabrio,1981-02-01 00:00:00,,Manual,96289.0,,,,1981-02-01 00:00:00,Petrol,Used,,2.0,5.0,4.0,882.0,,Leather,7450.0,,Other,,1981.0,1.0,0.0,,,,
Volkswagen,Golf,Grey,Hatchback,1978-06-01 00:00:00,Front,Manual,33087.0,,38.0,1.096,1978-06-01 00:00:00,Petrol,Classic,5.0,3.0,,4.0,736.0,0.0,Fabric,15000.0,,,2027-02-28 00:00:00,,,,,,,
Volkswagen,Golf,Grey,Hatchback,1999-06-01 00:00:00,Front,Manual,232576.0,,74.0,1.6,1999-06-01 00:00:00,Petrol,Used,4.0,2.0,5.0,4.0,,,Fabric,1350.0,Black,Metallic,2026-04-30 00:00:00,,1.0,,,2024-05-31 00:00:00,,
Volkswagen,Golf,Grey,Hatchback,1989-08-01 00:00:00,Front,Manual,263363.0,,198.0,3.189,1989-08-01 00:00:00,Petrol,Used,5.0,3.0,5.0,6.0,1019.0,,Fabric,9950.0,Grey,Metallic,2025-12-31 00:00:00,,,,,,,
Volkswagen,Golf,Grey,Hatchback,2000-12-01 00:00:00,Front,Automatic,124831.0,Euro 2,92.0,1.781,2000-12-01 00:00:00,Petrol,Used,5.0,3.0,,4.0,1147.0,221.0,Leather,3990.0,Black,Metallic,2025-12-31 00:00:00,,,,,,,
Volkswagen,Golf Cabriolet,Blue,Cabrio,1993-04-01 00:00:00,Front,Manual,228344.0,,72.0,1.781,1993-04-01 00:00:00,Petrol,Classic,,2.0,5.0,4.0,1006.0,0.0,Fabric,7999.0,Blue,Metallic,2025-07-31 00:00:00,,,,,,,
